pref,areacode,lat,lng
北海道,Z041,43.06417,141.34694
青森,Z051,40.82444,140.74
岩手,Z052,39.70361,141.1525
宮城,Z052,39.70361,141.1525
秋田,Z054,39.71861,140.1025
山形,Z055,38.24056,140.36333
福島,Z056,37.75,140.46778
茨城,Z015,36.34139,140.44667
栃木,Z016,36.56583,139.88361
群馬　,Z017,36.39111,139.06083
埼玉,Z013,35.85694,139.64889
千葉,Z014,35.60472,140.12333
東京,Z011,35.68944,139.69167
神奈川,Z012,35.44778,139.6425
新潟,Z061,37.90222,139.02361
富山,Z062,36.69528,137.21139
石川,Z063,36.59444,136.62556
福井　,Z064,36.06528,136.22194
山梨,Z065,35.66389,138.56833
長野,Z066,36.65139,138.18111
岐阜,Z031,35.39111,136.72222
静岡,Z032,34.97694,138.38306
愛知,Z033,35.18028,136.90667
三重,Z034,34.73028,136.50861
滋賀,Z021,35.00444,135.86833
京都,Z022,35.02139,135.75556
大阪,Z023,34.68639,135.52
兵庫,Z024,34.69139,135.18306
奈良,Z025,34.68528,135.83278
和歌山,Z026,34.22611,135.1675
鳥取,Z071,35.50361,134.23833
岡山,Z073,34.66167,133.935
広島,Z074,34.39639,132.45944
山口,Z075,34.18583,131.47139
徳島,Z081,34.06583,134.55944
香川,Z082,34.34028,134.04333
愛媛,Z083,33.84167,132.76611
高知,Z084,33.55972,133.53111
福岡,Z091,33.60639,130.41806
佐賀,Z092,33.24944,130.29889
長崎,Z093,32.74472,129.87361
熊本,Z094,32.78972,130.74167
大分,Z095,33.23806,131.6125
宮崎　,Z096,31.91111,131.42389
鹿児島,Z097,31.56028,130.55806
沖縄,Z098,26.2125,127.68111
